measurement_id,nodeName,nodeLabel,nodeTitle,Alt1RefId,Alt2RefId,Alt3RefId,nodeSpecies,NodeDataType,Pipeline
IL8_targeted_proteins,ENSP00000306512,CXCL8 : P10145,CXCL8 [ENSP00000306512],P10145,ENST00000307407,ENSG00000169429,Protein,targeted_proteins,targeted_proteins
IL9_targeted_proteins,ENSP00000274520,IL9 : P15248,IL9 [ENSP00000274520],P15248,ENST00000274520,ENSG00000145839,Protein,targeted_proteins,targeted_proteins
IP10_targeted_proteins,ENSP00000305651,CXCL10 : P02778,CXCL10 [ENSP00000305651],P02778,ENST00000306602,ENSG00000169245,Protein,targeted_proteins,targeted_proteins
LIF_targeted_proteins,ENSP00000249075,LIF : P15018,LIF [ENSP00000249075],P15018,ENST00000249075,ENSG00000128342,Protein,targeted_proteins,targeted_proteins
MCSF_targeted_proteins,ENSP00000327513,CSF1 : P09603,CSF1 [ENSP00000327513],P09603,ENST00000329608,ENSG00000184371,Protein,targeted_proteins,targeted_proteins
MCP3_targeted_proteins,ENSP00000367832,CCL7 : P80098,CCL7 [ENSP00000367832],P80098,ENST00000378569,ENSG00000108688,Protein,targeted_proteins,targeted_proteins
MIG_targeted_proteins,ENSP00000354901,CXCL9 : Q07325,CXCL9 [ENSP00000354901],Q07325,ENST00000264888,ENSG00000138755,Protein,targeted_proteins,targeted_proteins
MIP1A_targeted_proteins,ENSP00000477908,CCL3 : P10147,CCL3 [ENSP00000477908],P10147,ENST00000613922,ENSG00000277632,Protein,targeted_proteins,targeted_proteins
MIP1B_targeted_proteins,ENSP00000482259,CCL4 : P13236,CCL4 [ENSP00000482259],P13236,ENST00000615863,ENSG00000275302,Protein,targeted_proteins,targeted_proteins
PAI1_targeted_proteins,ENSP00000223095,SERPINE1 : P05121,SERPINE1 [ENSP00000223095],P05121,ENST00000223095,ENSG00000106366,Protein,targeted_proteins,targeted_proteins
PDGFBB_targeted_proteins,,,,,,,Protein,targeted_proteins,targeted_proteins
RANTES_targeted_proteins,,,,,,,Protein,targeted_proteins,targeted_proteins
RESISTIN_targeted_proteins,,,,,,,Protein,targeted_proteins,targeted_proteins
CD40L_targeted_proteins,ENSP00000359663,CD40LG : P29965,CD40LG [ENSP00000359663],P29965,ENST00000370629,ENSG00000102245,Protein,targeted_proteins,targeted_proteins
SCF_targeted_proteins,ENSP00000495951,KITLG : P21583,KITLG [ENSP00000495951],P21583,ENST00000644744,ENSG00000049130,Protein,targeted_proteins,targeted_proteins
SDF1A_targeted_proteins,ENSP00000379140,CXCL12 : P48061,CXCL12 [ENSP00000379140],P48061,ENST00000395794,ENSG00000107562,Protein,targeted_proteins,targeted_proteins
FASL_targeted_proteins,ENSP00000356694,FASLG : P48023,FASLG [ENSP00000356694],P48023,ENST00000367721,ENSG00000117560,Protein,targeted_proteins,targeted_proteins
TGFA_targeted_proteins,"ENSP00000295400,ENSP00000404131","TGFA : P01135,TGFA : F8VNR3","TGFA [ENSP00000295400],TGFA [ENSP00000404131]","P01135,F8VNR3","ENST00000295400,ENST00000444975",ENSG00000163235,Protein,targeted_proteins,targeted_proteins
TGFB_targeted_proteins,ENSP00000221930,TGFB1 : A0A499FJK2,TGFB1 [ENSP00000221930],A0A499FJK2,ENST00000221930,ENSG00000105329,Protein,targeted_proteins,targeted_proteins
TNFB_targeted_proteins,ENSP00000403495,LTA : P01374,LTA [ENSP00000403495],P01374,ENST00000454783,ENSG00000226979,Protein,targeted_proteins,targeted_proteins
TRAIL_targeted_proteins,ENSP00000241261,TNFSF10 : P50591,TNFSF10 [ENSP00000241261],P50591,ENST00000241261,ENSG00000121858,Protein,targeted_proteins,targeted_proteins
VEGF_targeted_proteins,ENSP00000361125,VEGFA : P15692,VEGFA [ENSP00000361125],P15692,ENST00000372055,ENSG00000112715,Protein,targeted_proteins,targeted_proteins
VEGFD_targeted_proteins,ENSP00000297904,VEGFD : O43915,VEGFD [ENSP00000297904],O43915,ENST00000297904,ENSG00000165197,Protein,targeted_proteins,targeted_proteins
AMYLIN_targeted_proteins,ENSP00000240652,IAPP : P10997,IAPP [ENSP00000240652],P10997,ENST00000240652,ENSG00000121351,Protein,targeted_proteins,targeted_proteins
C.Peptide_targeted_proteins,,,,,,,Protein,targeted_proteins,targeted_proteins
GHRELIN_targeted_proteins,ENSP00000335074,GHRL : Q9UBU3,GHRL [ENSP00000335074],Q9UBU3,ENST00000335542,ENSG00000157017,Protein,targeted_proteins,targeted_proteins
GIP_targeted_proteins,ENSP00000350005,GIP : P09681,GIP [ENSP00000350005],P09681,ENST00000357424,ENSG00000159224,Protein,targeted_proteins,targeted_proteins
GLP1_targeted_proteins,ENSP00000387662,GCG : P01275,GCG [ENSP00000387662],P01275,ENST00000418842,ENSG00000115263,Protein,targeted_proteins,targeted_proteins
IL6_targeted_proteins,"ENSP00000258743,ENSP00000385675",IL6 : P05231,"IL6 [ENSP00000258743],IL6 [ENSP00000385675]",P05231,"ENST00000258743,ENST00000404625",ENSG00000136244,Protein,targeted_proteins,targeted_proteins
INSULIN_targeted_proteins,"ENSP00000250971,ENSP00000380432",INS : P01308,"INS [ENSP00000250971],INS [ENSP00000380432]",P01308,"ENST00000250971,ENST00000397262",ENSG00000254647,Protein,targeted_proteins,targeted_proteins
LEPTIN_targeted_proteins,ENSP00000312652,LEP : P41159,LEP [ENSP00000312652],P41159,ENST00000308868,ENSG00000174697,Protein,targeted_proteins,targeted_proteins
MCP1_targeted_proteins,ENSP00000225831,CCL2 : P13500,CCL2 [ENSP00000225831],P13500,ENST00000225831,ENSG00000108691,Protein,targeted_proteins,targeted_proteins
PP_targeted_proteins,ENSP00000326031,PPP1CA : P62136,PPP1CA [ENSP00000326031],P62136,ENST00000312989,ENSG00000172531,Protein,targeted_proteins,targeted_proteins
PYY_targeted_proteins,ENSP00000353198,PYY : P10082,PYY [ENSP00000353198],P10082,ENST00000360085,ENSG00000131096,Protein,targeted_proteins,targeted_proteins
TNFA_targeted_proteins,ENSP00000398698,TNF : P01375,TNF [ENSP00000398698],P01375,ENST00000449264,ENSG00000232810,Protein,targeted_proteins,targeted_proteins
