"measurement_id","nodeName","nodeLabel","nodeTitle","Alt1RefId","Alt2RefId","Alt3RefId","nodeSpecies","NodeDataType","Pipeline"
"APOA4_proteomics","ENSP00000350425","APOA4 : P06727","APOA4 [ENSP00000350425]","P06727","ENST00000357780","ENSG00000110244","Protein","proteomics","proteomics"
"ENO1_proteomics","ENSP00000234590","ENO1 : P06733","ENO1 [ENSP00000234590]","P06733","ENST00000234590","ENSG00000074800","Protein","proteomics","proteomics"
"LDHB_proteomics","ENSP00000229319","LDHB : P07195","LDHB [ENSP00000229319]","P07195","ENST00000350669","ENSG00000111716","Protein","proteomics","proteomics"
"PROS1_proteomics","ENSP00000377783","PROS1 : P07225","PROS1 [ENSP00000377783]","P07225","ENST00000394236","ENSG00000184500","Protein","proteomics","proteomics"
"C8A_proteomics","ENSP00000354458","C8A : P07357","C8A [ENSP00000354458]","P07357","ENST00000361249","ENSG00000157131","Protein","proteomics","proteomics"
"C8B_proteomics","ENSP00000360281","C8B : P07358","C8B [ENSP00000360281]","P07358","ENST00000371237","ENSG00000021852","Protein","proteomics","proteomics"
"GP1BA_proteomics","ENSP00000329380","GP1BA : P07359","GP1BA [ENSP00000329380]","P07359","ENST00000329125","ENSG00000185245","Protein","proteomics","proteomics"
"C8G_proteomics","ENSP00000360697","C8G : P07360","C8G [ENSP00000360697]","P07360","ENST00000371634","ENSG00000176919","Protein","proteomics","proteomics"
"PFN1_proteomics","ENSP00000225655","PFN1 : P07737","PFN1 [ENSP00000225655]","P07737","ENST00000225655","ENSG00000108518","Protein","proteomics","proteomics"
"THBS1_proteomics","ENSP00000260356","THBS1 : P07996","THBS1 [ENSP00000260356]","P07996","ENST00000260356","ENSG00000137801","Protein","proteomics","proteomics"
"SERPINA6_proteomics","ENSP00000342850","SERPINA6 : P08185","SERPINA6 [ENSP00000342850]","P08185","ENST00000341584","ENSG00000170099","Protein","proteomics","proteomics"
"MGP_proteomics","ENSP00000228938","MGP : P08493","MGP [ENSP00000228938]","P08493","ENST00000228938","ENSG00000111341","Protein","proteomics","proteomics"
"ITGA2B_proteomics","ENSP00000262407","ITGA2B : P08514","ITGA2B [ENSP00000262407]","P08514","ENST00000262407","ENSG00000005961","Protein","proteomics","proteomics"
"LPA_proteomics","ENSP00000321334","LPA : P08519","LPA [ENSP00000321334]","P08519","ENST00000316300","ENSG00000198670","Protein","proteomics","proteomics"
"CD14_proteomics","ENSP00000304236","CD14 : P08571","CD14 [ENSP00000304236]","P08571","ENST00000302014","ENSG00000170458","Protein","proteomics","proteomics"
"CFH_proteomics","ENSP00000356399","CFH : P08603","CFH [ENSP00000356399]","P08603","ENST00000367429","ENSG00000000971","Protein","proteomics","proteomics"
"SERPINF2_proteomics","ENSP00000321853","SERPINF2 : P08697","SERPINF2 [ENSP00000321853]","P08697","ENST00000324015","ENSG00000167711","Protein","proteomics","proteomics"
"F7_proteomics","ENSP00000364731","F7 : P08709","F7 [ENSP00000364731]","P08709","ENST00000375581","ENSG00000057593","Protein","proteomics","proteomics"
"DBH_proteomics","ENSP00000376776","DBH : P09172","DBH [ENSP00000376776]","P09172","ENST00000393056","ENSG00000123454","Protein","proteomics","proteomics"
"C1S_proteomics","ENSP00000328173,ENSP00000385035","C1S : P09871","C1S [ENSP00000328173],C1S [ENSP00000385035]","P09871","ENST00000328916,ENST00000406697","ENSG00000182326","Protein","proteomics","proteomics"
"C4B_proteomics","ENSP00000415941","C4B : P0C0L5","C4B [ENSP00000415941]","P0C0L5","ENST00000435363","ENSG00000224389","Protein","proteomics","proteomics"
"SAA1_proteomics","ENSP00000348918,ENSP00000384906","SAA1 : P0DJI8","SAA1 [ENSP00000348918],SAA1 [ENSP00000384906]","P0DJI8","ENST00000356524,ENST00000405158","ENSG00000173432","Protein","proteomics","proteomics"
"SAA2_proteomics","ENSP00000436126","SAA2 : P0DJI9","SAA2 [ENSP00000436126]","P0DJI9","ENST00000526900","ENSG00000134339","Protein","proteomics","proteomics"
"C7_proteomics","ENSP00000322061","C7 : P10643","C7 [ENSP00000322061]","P10643","ENST00000313164","ENSG00000112936","Protein","proteomics","proteomics"
"CLU_proteomics","ENSP00000315130","CLU : P10909","CLU [ENSP00000315130]","P10909","ENST00000316403","ENSG00000120885","Protein","proteomics","proteomics"
"CLU.1_proteomics","ENSP00000315130","CLU : P10909","CLU [ENSP00000315130]","P10909","ENST00000316403","ENSG00000120885","Protein","proteomics","proteomics"
"MBL2_proteomics","ENSP00000363079","MBL2 : P11226","MBL2 [ENSP00000363079]","P11226","ENST00000373968","ENSG00000165471","Protein","proteomics","proteomics"
"CETP_proteomics","ENSP00000200676","CETP : P11597","CETP [ENSP00000200676]","P11597","ENST00000200676","ENSG00000087237","Protein","proteomics","proteomics"
"F5_proteomics","ENSP00000356771","F5 : P12259","F5 [ENSP00000356771]","P12259","ENST00000367797","ENSG00000198734","Protein","proteomics","proteomics"
"MYH7_proteomics","ENSP00000347507","MYH7 : P12883","MYH7 [ENSP00000347507]","P12883","ENST00000355349","ENSG00000092054","Protein","proteomics","proteomics"
"NCAM1_proteomics","ENSP00000318472","NCAM1 : P13591","NCAM1 [ENSP00000318472]","P13591","ENST00000316851","ENSG00000149294","Protein","proteomics","proteomics"
"C6_proteomics","ENSP00000263413","C6 : P13671","C6 [ENSP00000263413]","P13671","ENST00000263413","ENSG00000039537","Protein","proteomics","proteomics"
"SELL_proteomics","ENSP00000236147,ENSP00000498227","SELL : P14151","SELL [ENSP00000236147],SELL [ENSP00000498227]","P14151","ENST00000236147,ENST00000650983","ENSG00000188404","Protein","proteomics","proteomics"
"CPN1_proteomics","ENSP00000359446","CPN1 : P15169","CPN1 [ENSP00000359446]","P15169","ENST00000370418","ENSG00000120054","Protein","proteomics","proteomics"
"CD44_proteomics","ENSP00000398632","CD44 : P16070","CD44 [ENSP00000398632]","P16070","ENST00000428726","ENSG00000026508","Protein","proteomics","proteomics"
"IGFBP3_proteomics","ENSP00000370473","IGFBP3 : P17936","IGFBP3 [ENSP00000370473]","P17936","ENST00000381083","ENSG00000146674","Protein","proteomics","proteomics"
"LBP_proteomics","ENSP00000217407","LBP : P18428","LBP [ENSP00000217407]","P18428","ENST00000217407","ENSG00000129988","Protein","proteomics","proteomics"
"CD58_proteomics","ENSP00000358501","CD58 : P19256","CD58 [ENSP00000358501]","P19256","ENST00000369489","ENSG00000116815","Protein","proteomics","proteomics"
"VCAM1_proteomics","ENSP00000294728","VCAM1 : P19320","VCAM1 [ENSP00000294728]","P19320","ENST00000294728","ENSG00000162692","Protein","proteomics","proteomics"
"ORM2_proteomics","ENSP00000394936","ORM2 : P19652","ORM2 [ENSP00000394936]","P19652","ENST00000431067","ENSG00000228278","Protein","proteomics","proteomics"
"ITIH2_proteomics","ENSP00000351190","ITIH2 : P19823","ITIH2 [ENSP00000351190]","P19823","ENST00000358415","ENSG00000151655","Protein","proteomics","proteomics"
"ITIH1_proteomics","ENSP00000273283","ITIH1 : P19827","ITIH1 [ENSP00000273283]","P19827","ENST00000273283","ENSG00000055957","Protein","proteomics","proteomics"
"PZP_proteomics","ENSP00000261336","PZP : P20742","PZP [ENSP00000261336]","P20742","ENST00000261336","ENSG00000126838","Protein","proteomics","proteomics"
"C4BPB_proteomics","ENSP00000243611","C4BPB : P20851","C4BPB [ENSP00000243611]","P20851","ENST00000243611","ENSG00000123843","Protein","proteomics","proteomics"
"GPX3_proteomics","ENSP00000373477","GPX3 : P22352","GPX3 [ENSP00000373477]","P22352","ENST00000388825","ENSG00000211445","Protein","proteomics","proteomics"
"CPN2_proteomics","ENSP00000319464","CPN2 : P22792","CPN2 [ENSP00000319464]","P22792","ENST00000323830","ENSG00000178772","Protein","proteomics","proteomics"
"PROZ_proteomics","ENSP00000344458,ENSP00000364697","PROZ : P22891","PROZ [ENSP00000344458],PROZ [ENSP00000364697]","P22891","ENST00000342783,ENST00000375547","ENSG00000126231","Protein","proteomics","proteomics"
"IGHV1.2_proteomics",,"IGHV1.2 : P23083","IGHV1.2 [ENSP?]","P23083",,,"Protein","proteomics","proteomics"
"FBLN1_proteomics","ENSP00000331544","FBLN1 : P23142","FBLN1 [ENSP00000331544]","P23142","ENST00000327858","ENSG00000077942","Protein","proteomics","proteomics"
"AZGP1_proteomics","ENSP00000292401","AZGP1 : P25311","AZGP1 [ENSP00000292401]","P25311","ENST00000292401","ENSG00000160862","Protein","proteomics","proteomics"
"MST1_proteomics",,"MST1 : P26927","MST1 [ENSP?]","P26927",,"ENSG00000173531","Protein","proteomics","proteomics"
"PON1_proteomics","ENSP00000222381","PON1 : P27169","PON1 [ENSP00000222381]","P27169","ENST00000222381","ENSG00000005421","Protein","proteomics","proteomics"
"MAP4_proteomics","ENSP00000353375","MAP4 : P27816","MAP4 [ENSP00000353375]","P27816","ENST00000360240","ENSG00000047849","Protein","proteomics","proteomics"
"CFP_proteomics","ENSP00000247153","CFP : P27918","CFP [ENSP00000247153]","P27918","ENST00000247153","ENSG00000126759","Protein","proteomics","proteomics"
"SERPINA4_proteomics","ENSP00000298841,ENSP00000451172","SERPINA4 : P29622","SERPINA4 [ENSP00000298841],SERPINA4 [ENSP00000451172]","P29622","ENST00000298841,ENST00000555095","ENSG00000100665","Protein","proteomics","proteomics"
"PRDX2_proteomics","ENSP00000301522","PRDX2 : P32119","PRDX2 [ENSP00000301522]","P32119","ENST00000301522","ENSG00000167815","Protein","proteomics","proteomics"
"CDH5_proteomics","ENSP00000344115,ENSP00000497290","CDH5 : P33151","CDH5 [ENSP00000344115],CDH5 [ENSP00000497290]","P33151","ENST00000341529,ENST00000649567","ENSG00000179776","Protein","proteomics","proteomics"
"SAA4_proteomics","ENSP00000278222","SAA4 : P35542","SAA4 [ENSP00000278222]","P35542","ENST00000278222","ENSG00000148965","Protein","proteomics","proteomics"
"IGFALS_proteomics","ENSP00000416683","IGFALS : P35858","IGFALS [ENSP00000416683]","P35858","ENST00000415638","ENSG00000099769","Protein","proteomics","proteomics"
"SERPINF1_proteomics","ENSP00000254722","SERPINF1 : P36955","SERPINF1 [ENSP00000254722]","P36955","ENST00000254722","ENSG00000132386","Protein","proteomics","proteomics"
"CFHR2_proteomics","ENSP00000356385","CFHR2 : P36980","CFHR2 [ENSP00000356385]","P36980","ENST00000367415","ENSG00000080910","Protein","proteomics","proteomics"
"GP5_proteomics","ENSP00000383931","GP5 : P40197","GP5 [ENSP00000383931]","P40197","ENST00000401815","ENSG00000178732","Protein","proteomics","proteomics"
"BTD_proteomics","ENSP00000306477","BTD : P43251","BTD [ENSP00000306477]","P43251","ENST00000303498","ENSG00000169814","Protein","proteomics","proteomics"
"AFM_proteomics","ENSP00000226355","AFM : P43652","AFM [ENSP00000226355]","P43652","ENST00000226355","ENSG00000079557","Protein","proteomics","proteomics"
"TNNT3_proteomics","ENSP00000278317,ENSP00000370975","TNNT3 : P45378","TNNT3 [ENSP00000278317],TNNT3 [ENSP00000370975]","P45378","ENST00000278317,ENST00000381563","ENSG00000130595","Protein","proteomics","proteomics"
"MASP1_proteomics","ENSP00000296280","MASP1 : P48740","MASP1 [ENSP00000296280]","P48740","ENST00000296280","ENSG00000127241","Protein","proteomics","proteomics"
"SELENOP_proteomics","ENSP00000420939,ENSP00000425915","SELENOP : P49908","SELENOP [ENSP00000420939],SELENOP [ENSP00000425915]","P49908","ENST00000514985,ENST00000506577","ENSG00000250722","Protein","proteomics","proteomics"
"CAMP_proteomics",,"CAMP : P49913","CAMP [ENSP?]","P49913",,"ENSG00000164047","Protein","proteomics","proteomics"
"LUM_proteomics","ENSP00000266718","LUM : P51884","LUM [ENSP00000266718]","P51884","ENST00000266718","ENSG00000139329","Protein","proteomics","proteomics"
"CRISP3_proteomics","ENSP00000389026","CRISP3 : P54108","CRISP3 [ENSP00000389026]","P54108","ENST00000433368","ENSG00000096006","Protein","proteomics","proteomics"
"APOC4_proteomics","ENSP00000468236","APOC4 : P55056","APOC4 [ENSP00000468236]","P55056","ENST00000592954","ENSG00000267467","Protein","proteomics","proteomics"
"PLTP_proteomics","ENSP00000361508,ENSP00000417138","PLTP : P55058","PLTP [ENSP00000361508],PLTP [ENSP00000417138]","P55058","ENST00000372431,ENST00000477313","ENSG00000100979","Protein","proteomics","proteomics"
"INHBC_proteomics","ENSP00000308716","INHBC : P55103","INHBC [ENSP00000308716]","P55103","ENST00000309668","ENSG00000175189","Protein","proteomics","proteomics"
"LYZ_proteomics","ENSP00000261267","LYZ : P61626","LYZ [ENSP00000261267]","P61626","ENST00000261267","ENSG00000090382","Protein","proteomics","proteomics"
"B2M_proteomics","ENSP00000497910","B2M : P61769","B2M [ENSP00000497910]","P61769","ENST00000648006","ENSG00000166710","Protein","proteomics","proteomics"
"HBB_proteomics","ENSP00000333994,ENSP00000494175","HBB : P68871","HBB [ENSP00000333994],HBB [ENSP00000494175]","P68871","ENST00000335295,ENST00000647020","ENSG00000244734","Protein","proteomics","proteomics"
"HBA1_proteomics","ENSP00000251595,ENSP00000322421","HBA2 : P69905,HBA1 : P69905","HBA2 [ENSP00000251595],HBA1 [ENSP00000322421]","P69905","ENST00000251595,ENST00000320868","ENSG00000188536,ENSG00000206172","Protein","proteomics","proteomics"
"GPLD1_proteomics","ENSP00000230036","GPLD1 : P80108","GPLD1 [ENSP00000230036]","P80108","ENST00000230036","ENSG00000112293","Protein","proteomics","proteomics"
"LCN2_proteomics","ENSP00000277480,ENSP00000362108","LCN2 : P80188","LCN2 [ENSP00000277480],LCN2 [ENSP00000362108]","P80188","ENST00000277480,ENST00000373017","ENSG00000148346","Protein","proteomics","proteomics"
"IGLV3.21_proteomics",,"IGLV3.21 : P80748","IGLV3.21 [ENSP?]","P80748",,,"Protein","proteomics","proteomics"
"CFHR1_proteomics","ENSP00000314299","CFHR1 : Q03591","CFHR1 [ENSP00000314299]","Q03591","ENST00000320493","ENSG00000244414","Protein","proteomics","proteomics"
"HGFAC_proteomics","ENSP00000372224","HGFAC : Q04756","HGFAC [ENSP00000372224]","Q04756","ENST00000382774","ENSG00000109758","Protein","proteomics","proteomics"
"ITIH3_proteomics","ENSP00000415769","ITIH3 : Q06033","ITIH3 [ENSP00000415769]","Q06033","ENST00000449956","ENSG00000162267","Protein","proteomics","proteomics"
"LGALS3BP_proteomics","ENSP00000262776","LGALS3BP : Q08380","LGALS3BP [ENSP00000262776]","Q08380","ENST00000262776","ENSG00000108679","Protein","proteomics","proteomics"
"EFEMP1_proteomics","ENSP00000347596,ENSP00000378058","EFEMP1 : Q12805","EFEMP1 [ENSP00000347596],EFEMP1 [ENSP00000378058]","Q12805","ENST00000355426,ENST00000394555","ENSG00000115380","Protein","proteomics","proteomics"
"MMRN1_proteomics","ENSP00000378431","MMRN1 : Q13201","MMRN1 [ENSP00000378431]","Q13201","ENST00000394980","ENSG00000138722","Protein","proteomics","proteomics"
"ILK_proteomics","ENSP00000299421,ENSP00000379975","ILK : Q13418","ILK [ENSP00000299421],ILK [ENSP00000379975]","Q13418","ENST00000299421,ENST00000396751","ENSG00000166333","Protein","proteomics","proteomics"
"APOF_proteomics","ENSP00000381250","APOF : Q13790","APOF [ENSP00000381250]","Q13790","ENST00000398189","ENSG00000175336","Protein","proteomics","proteomics"
"MYBPC2_proteomics","ENSP00000350332","MYBPC2 : Q14324","MYBPC2 [ENSP00000350332]","Q14324","ENST00000357701","ENSG00000086967","Protein","proteomics","proteomics"
"HABP2_proteomics","ENSP00000277903","HABP2 : Q14520","HABP2 [ENSP00000277903]","Q14520","ENST00000351270","ENSG00000148702","Protein","proteomics","proteomics"
